VOLTAGE,2018/19,2019/20,2020/21,2021/22,2022/23
500kV HVDC KETRACO,,,,,641
400 kV KETRACO,"1,981","1,981","1,981","2,031","2,031"
"220kv KETRACO & KENGEN
Links",454,454,454,724,724
132kv KETRACO,"1,022","1,022","1,094","1,094","1,264"
KPLC,,,,,
220 kV,"1,352","1,352","1,352","1,352","1,352"
132 kV,"2,350","2,350","2,350","2,350","2,350"
66 kV,"1,187","1,187","1,187","1,188","1,227"
33 kV,"35,177","35,703","36,570","38,051","39,168"
11 kV,"39,797","40,616","41,553","42,971","44,077"
Total HV and MV,"83,320","84,665","86,541","89,761","92,834"
415/240V or 433/250V,"152,799","158,527","168,595","200,050","217,784"
TOTAL,"236,119","243,192","255,136","289,811","310,618"
% INCREASE P.A.,5%,3%,5%,14%,7%
