Column,"2022
Shs’000","2021
Shs’000"
General stores,"4,162,332","4,194,456"
Transformers,"1,701,447","2,131,626"
Conductors and cables,"1,851,646","2,405,349"
Metering accessories,"837,283","12,466"
Poles,"166,033","493,204"
Fuel and oil,"810,762","271,669"
