Financial statement area,Impact
Revenue,"The implementation of COVID-19 containment measures resulted in widespread
interruption of commercial and industrial operations which had an immediate impact
on electricity consumption by Large Power and Small Commercial Enterprises (SME)
customers thus reducing the revenues."
Employee structures,"There has been no change in the employee structure of the Company in the form of
additional benefits paid to employees or downsizing."
Laws and regulations,"As part of the fiscal and monetary measures introduced by the Government including:
i. Lowering of PAYE on employee benefits from 30% to 25%
ii. Lowering of VAT from 16% to 14%
iii. Raising of exempt income to KES 24,000 per month
iv. Lowering of corporate income tax from 30% to 25%
The effective date of these taxes is from 1 April 2020 and therefore no impact on the
financial performance and position of the Company as at 30 June 2019.."
Financial covenants,"While the company was not in compliance with debt covenants as at 30 June 2019, the
Company received waivers from the financiers on complying with the financial covenants."
