Column,"2022
Shs’000","2021
Shs’000"
Present value of the defined benefit obligation at start of year,"356,247","412,751"
Charge recognised in the profit or loss for the year (Note 9 (c)),"268,179","264,767"
Benefits paid to the outgoing employees during the year,"(178,148)","(66,846)"
"Actuarial gain on the obligation recognised in other
comprehensive income","(10,639)","(254,425)"
Present value of the defined obligation at end of year,"435,639","356,247"
Total provisions,"983,367","821,443"
