Column,"2022
Shs’000","2021
Shs’000"
Statement of profit or loss,,
Income tax:,,
Current income tax (Note 13 (c)),"146,183","121,524"
Deferred income tax:,,
"Adjustment in respect of deferred tax for previous
year (Note 27)",-,350
Movement for the year (Note 27),"1,473,081","6,586,094"
Tax charge,"1,619,264","6,707,968"
