Column,Column,Column,Column,Column,Column,Column,Column,Column,"420,235,305"
,,,,,,,,,"24,382,155"
,,,,,,,,,-
,,,,,,,,,"(1,094,990)"
At 30 June 2024,"785,710","13,378,925","33,320,201","298,737,190","1,330,906","8,563,959","67,130,164","20,275,415","443,522,470"
,,,,,,,,,"151,986,847"
,,,,,,,,,"15,991,990"
,,,,,,,,,"(506,414)"
At 30 June 2024,-,"3,114,304","16,086,346","90,658,544","499,095","6,903,739","50,210,395",-,"167,472,423"
,,,,,,,,,"273,992"
,,,,,,,,,"2,858"
,,,,,,,,,"(1,636)"
,,,,,,,,,"275,214"
At 30 June 2024,"785,710","10,264,621","17,233,855","208,078,646","831,811","1,660,220","16,919,769","20,000,201","275,774,833"
