Column,2023,2022
,Shs '000,Shs '000
Depreciation expense of right-of-use assets (Note 9 (c)),"302,603","293,246"
Interest expense on lease liabilities (Note 29),"105,047","125,143"
Expense relating to leases of low-value assets ((Note 9 (c)),"14,370","20,000"
,"422,020","438,389"
