latoT 000’shS,"216,171,02","746,883,032","952,065,052",1202,"493,543,12","600,684,332","004,138,452"
"stessa 000’shS
elbignatnI",-,"213,316","213,316",,-,"924,084,1","924,084,1"
"erutinruF dna rehto 000’shS
tnempiuqe",-,"946,502,41","946,502,41",,-,"770,510,51","770,510,51"
rotoM selcihev 000’shS,-,"059,087,1","059,087,1",,-,"680,964,1","680,964,1"
yrenihcaM 000’shS,"045,1","233,109","278,209",,"659,1","380,798","930,998"
seniL 000’shS,"814,257,91","108,687,102","912,935,122",,"084,978,02","076,376,302","051,355,422"
"dna *sgnidliub 000’shS
dnaL","456,714","306,001,11","752,815,11",,"859,364","166,059,01","916,414,11"
2202,noissimsnarT,noitubirtsiD,latoT,,noissimsnarT,noitubirtsiD,latoT
