Column,2023,2022
,Shs’000,Shs’000
At start of year,"305,607","150,824"
Amounts received during the year,"155,730","354,503"
Net interest income,"5,038","2,429"
Expenditure during the year,"(363,578)","(202,149)"
Balance at end of year,"102,797","305,607"
