Column,"2022
Shs’000","2021
Shs’000"
At start of year,"345,677","136,310"
Amounts received during year,-,"592,526"
Net interest income,"6,435","4,743"
Expenditure during year,"(184,211)","(387,902)"
Balance at end of year,"167,901","345,677"
