"3,297,264","7,159,474","229,192","224,269","10,910,199"
"(2,204,932)","(6,059,994)","(161,152)",-,"(8,426,078)"
"1,092,332","1,099,480","68,040","224,269","2,484,121"
"1,092,332","1,099,480","68,040","224,269","2,484,121"
-,"82,328","1,423",-,"83,751"
"451,754","448,281","41,694","1,754,476","2,696,205"
"151,457",-,-,-,"151,457"
(358),"(3,248)",-,"(130,522)","(134,128)"
"159,862","1,465,492","34,002","(1,659,356)",-
(222),"(392,854)","(5,533)",-,"(398,609)"
-,"381,529","5,533",-,"387,062"
"(289,118)","(609,550)","(31,200)","(6,806)","(936,674)"
"1,565,707","2,471,458","113,959","182,061","4,333,185"
"4,059,757","8,759,473","300,778","188,867","13,308,875"
"(2,494,050)","(6,288,015)","(186,819)","(6,806)","(8,975,690)"
"1,565,707","2,471,458","113,959","182,061","4,333,185"
