Parameter,Score,Rating
Commitment to Good Corporate Governance,90%,Leadership
Board Operations and Control,74%,Good
Rights of Shareholders,87%,Leadership
Stakeholder Relations,93%,Leadership
Ethics and Social Responsibility,81%,Leadership
"Accountability, Risk Management and Internal Control",87%,Leadership
Transparency and Disclosure,78%,Leadership
Overall Weighted Score,81%,Leadership
