Director,Classification,Designation,Column,Board,"Audit &
Compliance","Credit &
Risk","Human
Resources &
Compensation",Executive
J P M Ndegwa,Non-executive,"Chairman
Board",Membership,,,,,
,,,Attendance,7/7,,,,
F M Mbiru,Non-executive,"Chairman
Credit &
Risk Committee",Membership,,,,,
,,,Attendance,7/7,3/4,10/11,2/2,
J W Macharia,Executive,Managing Director,Membership,,,,,
,,,Attendance,7/7,4/4,11/11,2/2,2/2
G A Maina,Non-executive,"Chairman
Nominations
Committee",Membership,,,,,
,,,Attendance,7/7,,,,2/2
F N Mwanzia,Non-executive,"Chairman
Audit & Compliance
Committee",Membership,,,,,
,,,Attendance,7/7,4/4,11/11,,
A S M Ndegwa,Non-executive,"Chairman
Executive Committee",Membership,,,,,
,,,Attendance,6/7,4/4,10/11,2/2,2/2
I Ochola-Wilson,Non-executive,"Chairman
Human Resources
and Compensation
Committee",Membership,,,,,
,,,Attendance,7/7,,,2/2,
M L Somen,Non-executive,,Membership,,,,,
,,,Attendance,5/7,,8/11,,2/2
A Dodd,Executive,,Membership,,,,,
,,,Attendance,6/7,4/4,10/11,2/2,2/2
