OTHER DISCLOSURES,BANK,Column,Column,COMPANY,Column,Column,GROUP,Column,Column
,"31st March,
2021
Un-audited
Shs ‘000","31st Dec,
2020
Audited
Shs ‘000","31st March,
2020
Un-audited
Shs ‘000","31st March,
2021
Un-audited
Shs ‘000","31st Dec,
2020
Audited
Shs ‘000","31st March,
2020
Un-audited
Shs ‘000","31st March,
2021
Un-audited
Shs ‘000","31st Dec,
2020
Audited
Shs ‘000","31st March,
2020
Un-audited
Shs ‘000"
,,"35,995,056 34,747,568
6,161,738 6,906,205",,,"- -
- -",,,,
,"35,166,213",,,-,,,"39,571,381",,
,"6,770,754",,,-,,,"7,073,297",,
,"28,395,459","29,833,318 27,841,363",,-,- -,,"32,498,084",,
,"16,029,502","16,925,353 11,606,693",,-,- -,,"18,650,700",,
,"12,365,957","12,907,965 16,234,670",,-,- -,,"13,847,384",,
,"12,365,957","12,907,965 16,234,670",,-,- -,,"13,847,384",,
,-,- -,,-,- -,,-,,
,,"16,083,174 13,428,178
4,888,714 5,105,152",,,"- -
- -",,,,
,"14,545,238",,,-,,,"14,838,936",,
,"4,701,841",,,-,,,"5,371,877",,
,"19,247,079","20,971,888 18,533,330",,-,- -,,"20,210,813",,
,,"57,988,237 53,500,052
11,716,894 6,813,414
- -",,,"- -
- -
- -",,,,
,"53,421,596",,,-,,,"58,537,144",,
,"6,493,300",,,-,,,"6,493,300",,
,-,,,-,,,-,,
,"59,914,896","69,705,131 60,313,466",,-,- -,,"65,030,444",,
,,"60,706,729 65,572,930
1,000,000 1,000,000",,,"- -
- -",,,,
,"61,738,641",,,-,,,"67,723,347",,
,"1,000,000",,,-,,,"1,000,000",,
,"60,738,641","59,706,729 64,572,930",,-,- -,,"66,723,347",,
,"533,751","525,824 2,068,966",,-,- -,,"559,504",,
,"62,272,392","61,232,553 67,641,896",,-,- -,,"68,282,851",,
,"337,696,905","341,742,072 347,237,647
15.59% 18.04%
8.00% 8.00%",,-,"- -
- -
- -",,"372,343,711",,
,15.34%,,,-,,,15.60%,,
,8.00%,,,-,,,8.00%,,
,7.34%,7.59% 10.04%,,-,- -,,7.60%,,
,18.28%,"17.76% 18.88%
10.50% 10.50%",,-,"- -
- -",,18.19%,,
,10.50%,,,-,,,10.50%,,
,7.78%,7.26% 8.38%,,-,- -,,7.69%,,
,18.44%,"17.92% 19.48%
14.50% 14.50%",,-,"- -
- -",,18.34%,,
,14.50%,,,-,,,14.50%,,
,3.94%,3.42% 4.98%,,-,- -,,3.84%,,
,15.46%,"15.82% 18.33%
18.03% 19.18%
18.18% 19.78%",,-,"- -
- -
- -",,15.79%,,
,18.43%,,,-,,,18.41%,,
,18.59%,,,-,,,18.56%,,
,,"54.93% 54.55%
20.00% 20.00%",,,"- -
- -",,,,
,58.94%,,,-,,,58.70%,,
,20.00%,,,-,,,20.00%,,
,38.94%,34.93% 34.55%,,-,- -,,38.70%,,
