Policy,Key Provisions
"Group Code of Conduct and
Ethics","The Group Code of Conduct and Ethics, which has been published on the
Group’s website (https://ke.ncbagroup.com/), expresses the values that drive
our behavior including addressing ethical issues, integrity on reporting,
adherence to policies and procedures and addressing internal and external
audit matters. It gives guidance to the Board, Management and Staff of the
Group on acceptable behavior and ethical standards.
Directors, Management and Staff of the Group reaffirm their commitment to
upholding the requirements of the policies as defined within the Group Code
of Conduct and Ethics annually."
"Board Remuneration, Attraction
and Retention Policy","The Policy sets guidelines and criteria for the Board’s compensation,
attraction and retention of Directors. It establishes the requirements for:
• a transparent, fair and reasonable remuneration process;
• a framework that encourages long-term financial soundness and risk
management through minimisation of risky behavior and motivation for
application of sound practices;
• a good and strong reputation of the Group that attracts Directors and
encourages their retention;
• continuous growth opportunities for Directors to advance their skills
hence enabling their long term retention;
• Review of Directors’ Remuneration so as to provide market competitive
remuneration; and
• Disclosures through a Directors’ Remuneration Report.
The Directors’ remuneration policy and report, including details of their
compensation appears on pages 91 to 95 of this Report"
Corporate Disclosures Policy,"The policy of the Group is to make adequate disclosure of material
information and to ensure that all communications to the Group’s
stakeholders are timely, complete and accurate and appropriately and
broadly communicated in accordance with all applicable legal and
regulatory requirements.
In addition, the Group Stakeholder Relations Policy guides the Group’s
relationship with its Stakeholders, with additional enhancements on
engagement through digital and online communication, dispute resolution
mechanisms and citizenship guidelines."
