NCBA GROUP PLC BOARD OF DIRECTORS,Column
DIRECTOR,DESIGNATION
J P M Ndegwa,Group Chairman
D A Oyatsi,Deputy Group Chairman
J Gachora,Group Managing Director
D Abwoga,Executive Director
J I Ngunze,Executive Director
A H Abdi,Independent Non-Executive Director
J S Armitage,Non-Executive Director
I O Awuondo,Non-Executive Director
P R Lopokoiyit,Independent Non-Executive Director
G A Maina,Non-Executive Director
A S M Ndegwa,Non-Executive Director
E N Ngaine,Independent Non-Executive Director
M K R Shah,Independent Non-Executive Director
"Notes:
• G A Maina resigned from the Board in May 2020 following his appointment as the Chairman of the Board of
Faulu Microfinance Bank Limited;
• J I Ngunze resigned from the Board at the end of December 2020 having opted for early retirement; and
• I O Awuondo is the current Non-Executive Chairman of NCBA Bank Kenya PLC and Chairman of Banqtech
Limited, a wholly owned financial technology subsidiary of NCBA Group PLC.",
