Cumulative claim payments to date,"4,545,179","1,091,242","951,904","924,437","722,714","549,901","479,722"
Outstanding claims reserves (OCR),"106,659","13,963","9,652","16,515","11,762","63,248","245,118"
Incurred but not reported reserves (IBNR),-,-,100,"1,005","2,816","8,332","116,553"
Unallocated loss adjustment expenses (ULAE),-,-,-,-,-,-,-
