Category,Number of Shareholders,Number of Shares,%
Local Individual Investors,"26,213","194,987,470",11.84
Local Institutional Investors,"1,839","1,445,527,192",87.74
Foreign Individual Investors,202,"5,494,908",0.33
Foreign Institutional Investors,14,"1,509,962",0.09
Total,"28,268","1,647,519,532",100.00
