Our Commitment,2023,2024
"We will train & ignite our 3000+ staff
to make a difference through the
“I Change the Story” program","95% completion of online
courses","3548 Staff trained
630 employees trained on:
• Introduction to Sustainability
• Carbon Accounting and Carbon Markets
• Introduction to Sustainable Finance and the
• Role of Governance in Sustainability."
"We will deploy KES 100M annually to
support the communities in which we
operate",KES 100 million deployed,">100 million KES invested in >80 community
projects across the region:
- 6000+ women and youth in skills building and
mentorship programs.
- 800 students mentored through employee
volunteering
- Empowered over 12,000 athletes"
"We will champion inclusive
communities through regional sport
development",,"13200 athletes:
• 9,000+ golfers through the NCBA Golf Series,
with 2,151 junior golfers nurtured.
• 3,000+ football players supported through
various grassroots programs
• 1200 cyclists through LOOP Safari Gravel
Series"
