"(1,429,638 )
(315,626 )"
"(1,745,264 )"
"(157,138 )
(110,861 )
(11,765 )
8,153"
"(271,611 )"
"(152,879 )
1,112,392"
"959,513"
"(1,057,362 )
6,222,750"
"5,165,388"
