Name,Title,Change,Date
Ms. Mariam Abdullahi,(Independent Non-Executive Director),Appointment,1st August 2024
Mr. Kairo Thuo,(Independent Non-Executive Director),Appointment,1st September 2024
Mr. Isaac Awuondo,"(Non-Executive Director) continues to
serve on the Board of NCBA Bank Kenya
PLC and Loop DFS Limited",Resignation,1st September 2024
Mr. Mukesh Shah,"(Independent Non-Executive Director)
continues to serve on the Board of NCBA
Bank Kenya PLC",Resignation,1st September 2024
