"30th June, 2008
Unaudited
Shs '000","31st Mar, 2008
Unaudited
Shs '000","31st Dec,2007
Audited
Shs '000","30th June, 2007
Unaudited
Shs '000"
"1 ,529,419
1 09,746
3 1,180
-","7 23,576
4 8,896
1 6,498
-","2 ,543,740
1 52,064
1 01,279
2 ,557","1 ,170,723
7 7,971
4 5,528
1 ,681"
"1 ,670,345","7 88,970","2 ,799,640","1 ,295,903"
"6 98,002
4 8,885
1 8,715","3 27,509
1 5,242
1 1,876","1 ,098,787
1 8,359
4 4,447","4 96,532
1 2,345
2 0,067"
"7 65,602","3 54,627","1 ,161,593","5 28,944"
"9 04,743","4 34,343","1 ,638,047","7 66,959"
"9 0,800
1 50,895
1 93,726
-
7 0,724","3 2,253
7 3,273
1 19,754
-
2 7,979","1 50,598
2 73,222
2 06,731
-
1 13,141","5 6,078
1 37,648
1 07,570
-
4 9,840"
"5 06,145","2 53,259","7 43,692","3 51,136"
"1 ,410,888","6 87,602","2 ,381,739","1 ,118,095"
"9 4,405
2 87,350
2 2,052
4 3,581
4 6,650
9 ,407
2 57,293","6 4,414
1 36,821
1 0,873
2 0,150
2 2,644
4 ,528
1 27,979","1 00,067
5 99,392
5 2,042
3 5,070
1 02,283
2 6,209
4 18,565","5 1,487
2 50,213
2 1,876
3 2,010
4 7,797
1 3,785
2 30,402"
"7 60,738","3 87,409","1 ,333,628","6 47,570"
"6 50,150
-","3 00,193
-","1 ,048,111
-","4 70,525
-"
"6 50,150","3 00,193","1 ,048,111","4 70,525"
"( 195,045)
-","( 90,058)
-","( 329,312)
2 5,639","( 141,155)
-"
"4 55,105","2 10,135","7 44,438","3 29,370"
Shs,Shs,Shs,Shs
"1 .53
0 .25","0 .71
-","2 .57
0 .80","1 .13
-"
