"At start of
year","Charge/ (Credit)
to profit or loss","Charge/
(Credit) to OCI","At end of
year"
Shs’000,Shs’000,Shs’000,Shs’000
"(9,938)","1,172",-,"(8,766)"
"(1,509)",751,-,(758)
-,"(51,390)",-,"(51,390)"
"(225,480)","(76,007)",-,"(301,487)"
"220,889",-,"(595,539)","(374,650)"
"(169,311)","(337,462)",-,"(506,773)"
"(185,349)","(462,936)","(595,539)","(1,243,824)"
"76,238",-,-,"76,238"
"(109,111)","(462,936)","(595,539)","(1,167,586)"
