Areas of potential judgement,Applicable to the company
Measurement – Fulfilment cash flows,
"The concept of a contract boundary is used to determine
which future cash flows should be considered in the
measurement of a contract within the scope of IFRS 17.
Judgements might be involved to determine when the
Company is capable of repricing the entire contract to
reflect the reassessed risks, when policyholders are
obliged to pay premiums, and when premiums reflect
risks beyond the coverage period.
An entity can use judgement to determine which cash
flows within the boundary of insurance contracts are
those that relate directly to the fulfilment of the contracts.","Refer to note 2.11 for a description of judgements
applied by the Group for measurement of
fulfilment cash flows."
"Risk adjustment for non-financial risk
The risk adjustment represents compensation that is
required for bearing uncertainty about the amount and
timing of cash flows that arises from non-financial risk
as the insurance contract is fulfilled. Estimates are made
on the degree of diversification benefits and expected
favourable and unfavourable outcomes in a way that
reflects the Company’s degree of risk aversion. The
Company estimates an adjustment for non-financial risk
separately from all other estimates.","The risk adjustment is calculated at the Group level and then
allocated down to each group of insurance contracts in
accordance with their risk profiles. The gross risk adjustment
estimation approach uses a statistical modelling tool to
generate an independent risk coefficient of variation (CoV).
The CoV is used as inputs and actuarial judgement is
exercised to derive the gross risk adjustment for non-
financial risk. The gross and ceded risk adjustment is
calibrated at a 75% level of sufficiency after taking into
account diversification benefits."
Estimates of fulfilment cash flows to fulfil insurance contracts,
"The cash flows related to the Liability for Incurred
Claims (“LIC“) can generally be categorized into two
distinct groups. One group is short-tail classes of
business consisting mainly of motor private and fire
industrial. The other group is long-tail classes consisting
mainly of liability lines of business.","The estimates for short tail classes are more reliant on the
case estimate on individual claims and utilize loss
development methodologies in the projection of the future
development of these case estimates.
Long-tail classes generally relate to coverage where
litigation is frequent or where there is an element of bodily
injury, especially in situations with long term injury. For
these classes it may take some time from the date of accident
for the claim to emerge and for claims to be settled from
notification date due to the time taken to establish liability.
Estimation of ultimate net indemnity losses and loss
expenses for long-tail lines of business is a complex process
and depends on a number of factors, including the class and
volume of business involved as well as the complexity of the
individual claim and the uncertainty of the business
environment. The actuarial methods used by the Group for
most long-tail commercial lines include loss development
methods and expected loss ratio methods, including the
Bornhuetter-Ferguson and basic chain ladder methods.
Exceptional large claims or events, to the extent that these
distort the historical development, are often removed from
the analysis and considered separately."
