Skill and Experience,Relevance to the Group,Percentage*
Governance,"Facilitating an environment that allows for cohesivness, prudent
decision making, accountability, control and driving culture",73%
Strategy and planning,Developing and directing the implementation of the Group strategy,100%
Financial Services,"Understanding the workings of the industry and formulating suitable
strategies for sustainability",100%
Legal experience,"Enabling suitable interpretation of the laws and regulations, and
providing advisory services to the Board in ensuring compliance
thereof",9%
Risk Management,"Facilitating a fit for purpose risk management framework that is
protective of the Group’s interests and long term objectives",91%
"Public Sector
Experience","Understanding of government policy making processes to position
the Group towards aligning with the national growth agenda",55%
Information Technology,"Development of a suitable Group ICT strategy in a pervasive digital
service delivery and data intensive environment",18%
Commercial Acumen,"Understanding diverse business models and nuances of finacial and
other disclosures",82%
International Business,"Appreciating diversity in business practices and utilizing cross-
border synergies for the enhancement of service delivery and
performance",100%
Real Estate,Understanding the Real Estate market and opportunities available,45%
Manufacturing,"Evaluation of the business opportunities, especially in relation to
national policy on industrialization, and thus better support to our
customers",73%
Supply chain logistics,"Understanding the value chain and how the Group can offer
support in making it more efficient",45%
"Environment and
Sustainability","Developing the Group’s environmental and sustainability agenda
for the long term benefit of its stakeholders, including consistent
shareholder returns",82%
Insurance,"Appreciation of the risk environment and facilitating the
development of practical solutions to protect our stakeholders’
investment, and further providing a link between underwriters and
end consumers thus enhancing predictability and stability",64%
Accounting,"Enables robust capital management and ensures transparency and
accountability in financial reporting",55%
