"327,318","226,451","312,579","217,406"
"160,171
-
(163)
26,240","135,052
265
-
24,854","159,513
-
-
23,709","135,052
-
-
24,461"
"186,248","160,171","183,222","159,513"
"141,070","66,280","129,357","57,893"
