Objective,Key considerations
"Strategy
Development and
Capital Planning","• Establishing the Group strategies and objectives, business plans and budgets and
advising on the implementation of the Group’s strategic plan.
• Reviewing, advising on and approving significant matters with a bearing on the
Group’s capital position.
• Reviewing comprehensive market updates and recommending actions for
implementation against the strategic plans.
• Considering updates and advising on the digital strategy.
• Considering and recommending for shareholder approval the dividend payout."
"Group
Performance","• Monitoring and reviewing updates of the entire Group’s performance against the set
business targets and strategies and providing guidance on improvements thereof.
• Considering and approving the financial reports and accounting policies in use.
• Monitoring and reviewing performance vis-à-vis that of the economy.
• Considering and approving strategies to maintain liquidity and conserve capital."
"Internal Controls
and Compliance","• Reviewing, recommending and approving the policies and systems for internal control.
• Reviewing and approving the auditors’ work plans and guiding on the recommendations
made by the auditors for improvement of operational controls.
• Considering and recommending measures for risk control as advised by the internal
audit and risk management and compliance functions.
• Reviewing the level of compliance to laws, regulations and internal policies.
• Establishing relevant policies to prudently manage the Group’s business activities."
