Name,Number of Shares,%
Enke Investments Limited,"197,724,567",13.20
Ropat Nominees Limited,"178,606,066",11.92
Livingstone Registrars Limited A/C No. 1,"157,967,184",10.55
First Chartered Securities Limited,"111,521,351",7.45
Yana Investments Limited,"88,436,277",5.90
ICEA LION Asset Management Limited A/C 2000,"64,463,608",4.30
Livingstone Registrars Limited,"61,457,168",4.10
Rivel Kenya Limited,"58,369,703",3.90
Ropat Trust Company Limited,"42,596,173",2.84
Livingstone Registrars Limited A/C No. 2,"34,639,066",2.31
Total,"995,781,163",66.47
