"289,324","104,630","1,442,704","182,583","2,019,241"
-,-,-,-,-
"289,324","104,630","1,442,704","182,583","2,019,241"
"(745,123)",-,-,-,"(745,123)"
-,"(37,321)","(924,473)","(117,749)","(1,079,543)"
-,-,"993,532","6,218","999,750"
-,"11,700",-,-,"11,700"
"(745,123)","(25,621)","69,059","(111,531)","(813,216)"
"(745,123)","(25,621)","69,059","(111,531)","(813,216)"
-,-,"147,085","22,268","169,353"
"(745,123)","(25,621)","216,144","(89,263)","(643,863)"
"575,844",-,-,-,"575,844"
-,-,"(293,140)",-,"(293,140)"
"575,844",-,"(293,140)",-,"282,704"
"196,768","76,221","1,355,227","92,336","1,720,552"
"(76,723)","2,788","10,481",984,"(62,470)"
"120,045","79,009","1,365,708","93,320","1,658,082"
