Column,Column,Column,Column,Unquoted equity security in Tanzania,"25,380",Column,"25,470",Column
,-,,-,Mortgage Refinance Company,,"25,380",,"25,470"
,"1,466,805",,"2,075,177",Corporate Bonds,,"1,466,805",,"2,075,177"
,-,,-,Equity investment in NSE,,"108,625",,"191,000"
"5,398,306",,"5,440,670",,,"1,615,965",,"2,325,637",
