2012,2013,2014,2015,2016
Shs`000,Shs`000,Shs`000,Shs`000,Shs`000
"17,478,232","18,093,150","19,223,686","27,911,907","30,698,495"
"71,540,092","83,493,313","100,575,330","114,657,644","113,040,863"
"1,009,891","1,119,264","1,079,110","1,063,760","1,043,497"
"18,320,378","18,357,012","24,902,379","22,154,957","24,676,130"
"108,348,593","121,062,739","145,780,505","165,788,268","169,458,985"
"83,379,576","91,565,005","100,434,954","112,364,637","111,824,685"
"3,655,414","3,628,169","14,358,480","15,356,190","19,965,484"
"5,831,981","8,300,659","7,636,358","11,721,299","7,323,452"
"92,866,971","103,493,833","122,429,792","139,442,126","139,113,621"
"15,481,622","17,568,906","23,350,713","26,346,142","30,345,364"
"108,348,593","121,062,739","145,780,505","165,788,268","169,458,985"
"11,467,574","11,642,416","13,711,068","17,014,132","19,020,675"
"5,983,706","4,374,437","5,712,949","7,271,599","6,852,078"
"5,483,868","7,267,979","7,998,119","9,742,533","12,168,597"
"297,485","1,092,873","329,133","1,652,475","3,749,530"
"5,186,383","6,175,106","7,668,986","8,090,058","8,419,067"
"2,832,257","3,155,207","3,508,139","3,955,634","3,919,149"
"8,018,640","9,330,313","11,177,125","12,045,692","12,338,216"
"3,500,673","4,320,742","4,946,475","5,648,417","6,171,267"
"4,517,967","5,009,571","6,230,650","6,397,275","6,166,949"
"1,481,173","1,772,270","2,113,976","1,912,150","1,836,553"
"3,036,794","3,237,301","4,116,674","4,485,125","4,330,396"
"52,388","(86,080)","(4,181)","7,770","20,511"
"2,984,406","3,323,381","4,120,855","4,477,355","4,309,885"
6.03,6.12,7.07,7.00,6.73
1.00,1.00,1.00,1.25,1.25
"2,332,701","4,520,926","4,032,008","13,228,534","12,883,832"
"1,652,986","2,592,033","2,680,360","2,776,627","5,022,089"
"679,715","1,928,893","1,351,648","10,451,907","7,861,743"
783,909,1001,1069,1095
24,30,32,35,40
29.18%,28.51%,26.68%,24.28%,20.32%
34.06%,30.27%,30.49%,28.88%,24.36%
3.26%,5.55%,4.01%,11.54%,11.40%
4.17%,4.14%,4.27%,3.86%,3.64%
42%,41%,43%,41%,38%
