"3,399,471","2,414,064"
"683,050
(54,705)","692,271
(34,427)"
"628,345","657,844"
"547,568
638,096","502,475
266,695"
"5,213,480","3,841,078"
"(316,640)
(1,262,277)
(1,026,171)","(463,484)
(1,030,159)
(820,642)"
"(2,605,088)","(2,314,285)"
"2,608,392
(744,474)","1,526,793
(441,075)"
"1,863,918","1,085,718"
"(92,441)
(38,592)","8,769
(32,121)"
"(131,033)","(23,352)"
"1,732,885","1,062,366"
"1,817,232
46,686","1,079,117
6,601"
"1,863,918","1,085,718"
"1,686,199
46,686","1,055,765
6,601"
"1,732,885","1,062,366"
Shs 5.06,Shs 3.01
Shs 5.06,Shs 3.01
