Approach,Detail
Compliance,"Compliance with the Constitution of Kenya, applicable laws and regulations,
relevant national and international standards, and internal policies. The Group
has designated the Group Director, Risk and Compliance as its Compliance
Officer in relation to the Capital Markets regulations."
Structure and Accountability,"Regular assessment of the composition, independence, competencies, diversity,
and synergy of the Board and Management, as well as their effectiveness,
collaboration, and appropriate delineation of responsibilities and delegation of
authority."
Disclosures,"Providing stakeholders with timely, transparent, and pertinent communication
to ensure a comprehensive grasp of our business operations."
Audit and Controls,"Securing independence by applying globally recognised auditing and accounting
standards, facilitation thorough internal and external audits, periodically
rotating external auditors, ensuring the Board Audit Committee’s appropriate
composition, and upholding stringent internal control practices.
• The Group appointed its current external auditor through shareholder
approval at its Annual General Meeting (AGM) on 9th June 2021. The
auditor has thus served for four (4) years and is subjected to reappointment
annually during the Group’s AGMs."
Outlook,"Aligning roles, deliverables, and remuneration with the shareholders’ long-term
interests"
Sustainability,"Maximising shareholder returns by conducting regular and forward-thinking
strategy reviews and implementing the most suitable and sustainable plans to
enhance the long-term prosperity of the Group’s businesses."
Culture,"Maintaining utmost integrity in the Group’s culture and operations through the
enforcement of a clearly defined Code of Conduct and Ethics."
