"82,930","29,990","413,527","52,334","578,781"
-,-,-,-,-
"82,930","29,990","413,527","52,334","578,781"
"(44,169)",-,-,-,"(44,169)"
-,"(47,023)","(571,838)","(61,135)","(679,996)"
-,-,"369,116","23,712","392,828"
-,"31,377",-,-,"31,377"
"(44,169)","(15,646)","(202,722)","(37,423)","(255,760)"
"(44,169)","(15,646)","(202,722)","(37,423)","(299,960)"
-,-,"15,035","2,032","17,067"
"(44,169)","(15,646)","(187,687)","(35,391)","(282,893)"
"(16,966)",-,-,-,"(16,966)"
-,-,"22,110",-,"22,110"
"(16,966)",-,"22,110",-,"5,144"
-,-,-,-,
"35,724","13,838","246,047","16,764","312,373"
"(13,929)",506,"1,903",179,"(11,341)"
"21,795","14,344","247,950","16,943","301,032"
