Cumulative claim payments to date(2018-2025),"2,294,338","592,188","802,845","1,052,610","1,281,395","932,922"
Outstanding claims reserves (OCR),"414,795","55,852","38,609","66,059","156,333","188,151"
Incurred but not reported reserves (IBNR),-,-,413,"4,662","13,902","33,948"
Unallocated loss adjustment expenses (ULAE),"9,258","1,247",880,"1,682","4,110","5,715"
