Assets class,Useful Life in 2025,Useful Life in 2024
"Buildings and improvements on
leasehold land","lesser of 40 years and the
unexpired period of lease","lesser of 40 years and the
unexpired period of lease"
"Equipment, furniture and fittings",3-10 years,3 to 8 years
Motor vehicles,4 to 5 years,4 to 5 years
