Our Commitment,2023,Column
"We will complete a group-
wide carbon audit in 2023 &
set a >50% reduction target in
direct emissions (Scope I & II)
by 2030","Scope I
7765.53
(tCO2e)","Scope II
2324 (tCO2e)"
"We will align with the 2015
Paris Agreement and reduce
our financed emissions by
2030",Ongoing audit,
"We will embed thorough
assessments of climate-
related risks in our lending,
investment, and financing
activities","• Capacity Building & Training
• Scenario Modelling",
