Column,Q1 24,Q1 25
Cost to IncomeRatio,50.6%,51.2%
Cost to Assets,1.2%,1.4%
Staff Costs Intensity (1),21.0%,21.8%
IT Costs Intensity (2),9.7%,8.8%
