Column,"6,847,413 23,351,803 11,111,812
6,038,322 22,823,692 10,942,609
204,424 583,194 223,607
37,272 137,843 67,398",Column,"- - -
- - -
2,049 33,214 10,943
- - -",Column
"14,474,225",,-,,"16,484,986"
"11,986,762",,-,,"13,250,686"
"479,230",,"58,436",,"531,398"
"74,959",,-,,"78,886"
"27,015,176","13,127,431 46,896,532 22,345,426","58,436","2,049 33,214 10,943","30,345,956"
,"5,410,340 18,845,828 8,833,054
171,939 445,630 154,300
202,790 178,233 219,239",,"- - -
- - -
- - -",
"11,046,829",,-,,"12,124,391"
"587,421",,-,,"689,083"
"321,920",,-,,"321,920"
"11,956,170","5,785,069 19,469,691 9,206,593",-,- - -,"13,135,394"
"15,059,006","7,342,362 27,426,841 13,138,833","58,436","2,049 33,214 10,943","17,210,562"
,"2,212,419 9,547,474 4,873,237
1,054,655 3,523,889 1,704,246
2,520,960 11,904,857 4,982,399
- - -
60,833 1,057,419 611,046",,"- - -
- - -
- - -
3,706,918 11,859,000 6,559,000
89,856 273,054 189,891",
"4,540,535",,-,,"5,771,935"
"2,243,969",,-,,"2,537,666"
"3,955,588",,-,,"4,312,893"
-,,"4,203,585",,-
"206,114",,"171,734",,"1,190,132"
"10,946,206","5,848,867 26,033,639 12,170,928","4,375,319","3,796,774 12,132,054 6,748,891","13,812,626"
"26,005,212","13,191,229 53,460,480 25,309,761","4,433,755","3,798,823 12,165,268 6,759,834","31,023,188"
,"1,941,958 11,019,908 4,611,491
2,323,073 7,870,746 3,458,983
7,101 30,947 25,797
177,350 858,342 441,649
93,404 388,997 195,259
258,351 1,045,063 518,496
2,931,120 9,684,346 4,437,362",,"- - -
88,124 260,236 187,009
22,221 86,380 24,511
513 2,058 1,029
- - -
- - -
14,788 102,258 37,128",
"4,119,488",,-,,"4,391,994"
"4,563,064",,"175,966",,"5,825,966"
"14,968",,"37,580",,"142,579"
"438,451",,"1,026",,"445,003"
"189,238",,-,,"333,190"
"511,818",,-,,"609,137"
"5,563,211",,"45,515",,"6,916,103"
"15,400,238","7,732,357 30,898,349 13,689,037","260,087","125,646 450,932 249,677","18,663,972"
"10,604,974","5,458,872 22,562,131 11,620,724
- 531,125 531,125","4,173,668","3,673,177 11,714,336 6,510,157
- - -","12,359,216"
-,,-,,-
"10,604,974","5,458,872 22,031,006 11,089,599
- - -","4,173,668","3,673,177 11,714,336 6,510,157
- - -","12,359,216"
-,,-,,-
"10,604,974","5,458,872 22,031,006 11,089,599
(1,798,589) (5,088,712) (11,489)
683,567 (2,863,472) (3,160,672)","4,173,668","3,673,177 11,714,336 6,510,157
(27,571) (47,744) (17,577)
12,511 -","12,359,216"
"(2,653,475)",,"(35,041)",,"(3,139,878)"
"218,869",,"5,563",,"128,878"
"8,170,368","4,343,850 14,078,822 7,917,438","4,144,190","3,658,117 11,666,592 6,492,580","9,348,216"
,"- - -
(299,883) (2,388,214) (2,170,943)
- - -
- - -
- - -
(299,883) (2,388,214) (2,170,943)",,"- - -
- - -
- - -
- - -
- - -
- - -",
-,,-,,"1,214,867"
"(1,205,763)",,-,,"(961,459)"
-,,-,,-
-,,-,,-
-,,-,,-
"(1,205,763)",,-,,"253,408"
"6,964,605","4,043,967 11,690,608 5,746,495","4,144,190","3,658,117 11,666,592 6,492,580","9,601,624"
15.05,"8.00 25.93 14.58
- 9.76 -
- 6.83 -",2.52,"2.22 7.08 3.94
- 2.00 2.00
- 2.25 -",5.67
-,,1.75,,1.75
-,,-,,-
