Group Bank,Column,Column,Column
,30th June 2009,"30th June 2008 31st Dec, 2008 31st March 2009
Un-audited Audited Un-audited
Shs '000 Shs '000 Shs '000",30th June 2009
,Un-audited,,Un-audited
,Shs '000,,Shs '000
,,"4 49,620 4 92,080 3 72,833
2 ,495,733 2 ,178,782 1 ,908,344
1 ,958,357 3 ,670,220 3 ,994,416
- - -
9 5,698 9 55,826 1 ,541,168
5 ,006,509 3 ,137,712 6 ,990,369
2 90,846 3 04,698 1 34,171
- - -
2 5,727,316 2 9,954,948 2 7,920,413
- - -
8 4,158 2 62,598 -
- - -
2 77,666 2 78,666 5 51,501
- - -
- - -
5 33,574 6 71,790 6 99,394
7 ,937 7 ,875 7 ,844
4 2,671 5 3,910 5 3,894
- - -
- - -
6 20,186 7 35,066 6 22,060",
,"6 40,822",,"4 93,158"
,"2 ,754,377",,"2 ,426,825"
,"2 ,963,702",,"2 ,753,345"
,-,,-
,"1 ,413,126",,"4 51,512"
,"5 ,972,457",,"5 ,802,035"
,"5 91,261",,"5 91,261"
,"1 3,391",,-
,"2 9,616,616",,"2 8,154,581"
,"3 0,999",,-
,,,3 89
,-,,-
,,,"1 ,147,786"
,-,,-
,-,,-
,"7 28,900",,"7 05,891"
,"7 ,844",,"7 ,844"
,"6 88,648",,"5 4,424"
,-,,-
,-,,-
,"5 83,112",,"5 13,396"
,"46,005,255","3 7,590,271 42,704,171 44,796,407","43,102,447"
,,"- - -
2 9,944,506 3 5,238,381 3 5,404,387
8 01,430 - 1 ,635,450
- 4 ,843 -
- - -
6 44,320 6 63,275 6 50,131
3 39,075 2 90,413 2 73,596
1 1,707 9 4,724 2 18,775
- - -
7 ,319 2 2,303 2 2,303
- - -
8 89,224 8 61,090 8 06,498",
,-,,-
,"3 7,827,599",,"3 5,309,334"
,"3 50,011",,"3 00,000"
,"-
-
5 59,317
-
2 ,875
-
2 0,258
-
9 51,805",,"-
-
5 59,317
2 58,783
2 ,764
-
2 2,303
-
6 61,821"
,"39,711,865","3 2,637,581 37,175,029 39,011,140","37,114,322"
,"1 ,631,808
1 92,600
1 03,926
3 ,738,314
2 52,244
-
-","1 ,483,462 1 ,483,462 1 ,483,462
3 40,946 3 40,946 3 40,946
1 01,775 1 74,207 1 74,207
2 ,787,915 3 ,171,658 3 ,450,601
2 38,592 2 84,696 2 61,878
- 7 4,173 7 4,173
- - -","1 ,631,808
1 92,600
1 74,207
3 ,737,266
2 52,244
-
-"
,"5 ,918,892
3 74,498","4 ,952,690 5 ,529,142 5 ,785,267
- - -","5 ,988,125
-"
,"6,293,390","4 ,952,690 5,529,142 5,785,267","5,988,125"
,"4 6,005,255","3 7,590,271 4 2,704,171 4 4,796,407","4 3,102,447"
