Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,H1 24 H1 25 ∆%,,,,,
Net Loans and Advances,"272,873","255,340",(6%),"309,663","288,085",(7%)
Investments,"193,224","185,747",(4%),"218,875","216,433",(1%)
Cash and Balances with Banks,"93,889","87,810",(6%),"110,062","109,536",-
Other Assets,"60,459","48,827",(19%),"50,477","48,905",(3%)
Total Assets,"620,446","577,724",(7%),"689,078","662,959",(4%)
Customer Deposits,"473,519","439,527",(7%),"528,885","496,970",(6%)
Borrowings,"30,266","13,128",(57%),"29,653","14,301",(52%)
Other Liabilities,"22,704","23,224",2%,"29,136","33,991",17%
Shareholders Equity,"93,956","101,845",8%,"101,404","118,446",17%
Total Liabilities & Equity,"620,446","577,724",(7%),"689,078","662,959",(4%)
