Column,Column,Column,Column,"2018
Shs ‘000"
"19,223,686","27,911,907","30,698,495","54,715,795","61,706,465"
"100,575,330","114,657,644","113,040,863","118,405,480","116,853,003"
"1,119,264","1,063,760","1,043,497","1,148,712","1,369,575"
"24,386,379","22,145,957","24,676,130","31,902,475","28,478,374"
"145,304,659","165,779,268","169,458,985","206,172,462","208,407,417"
"100,434,954","112,364,637","111,824,685","138,916,570","144,501,060"
"14,358,480","15,356,190","19,965,484","17,025,858","14,868,337"
"8,276,301","11,721,299","7,323,452","15,513,795","13,252,886"
"123,069,735","139,442,126","139,113,621","171,456,223","172,622,283"
"22,234,924","26,337,142","30,345,364","34,716,239","35,785,134"
"121,062,739","165,779,268","169,458,985","206,172,462","208,407,417"
"13,711,068","17,014,132","19,020,675","18,415,422","20,999,501"
"5,712,949","7,271,599","6,852,078","7,641,620","8,716,105"
"7,998,119","9,742,533","12,168,597","10,773,802","12,283,396"
"329,133","1,652,475","3,749,530","2,979,724","3,338,598"
"7,668,986","8,090,058","8,419,067","7,794,078","8,944,798"
"3,508,139","3,955,634","3,919,149","4,061,605","3,806,329"
"11,177,125","12,045,692","12,338,216","11,855,683","12,751,127"
"4,946,475","5,648,417","6,171,267","6,254,733","6,928,262"
"6,230,650","6,397,275","6,166,949","5,600,950","5,822,865"
"2,113,976","1,912,150","1,836,553","1,456,532","1,594,495"
"4,116,674","4,485,125","4,330,396","4,144,418","4,228,370"
7.07,7.00,6.73,5.93,6.06
1.00,1.25,1.25,1.00,1.25
"4,032,008","13,228,534","12,883,832","13,038,800","14,673,953"
"2,680,360","2,776,628","5,022,089","5,265,710","5,161,412"
"1,928,893","10,451,906","7,861,743","7,773,090","9,512,541"
1001,1069,1095,"1,147","1,350"
32,35,40,44,53
27.43%,24.28%,20.32%,16.13%,16.27%
30.49%,28.88%,24.36%,27.38%,23.66%
4.01%,11.54%,11.40%,11.01%,12.56%
4.27%,3.86%,3.64%,2.72%,2.79%
43%,41%,38%,42%,43%
