Category,Number of Shareholders,Number of Shares,%
1-500 shares,"10,230","1,706,614",0.10
"501-5,000 shares","13,139","27,131,533",1.65
"5,001-10,000 shares","1,910","13,152,258",0.80
"10,001-100,000 shares","2,181","57,657,372",3.50
"100,001-1,000,000 shares",348,"95,567,898",5.80
"1,000,001 and over",67,"1,452,303,857",88.15
Total,"27,875","1,647,519,532",100.00
