Executive Management Committee,Assets and Liability Committee
"Key purpose and responsibilities
• Formulating and executing strategies to position business
segments strategically in the market.
• Supervising business and operational endeavors.
• Crafting policies and procedures to establish effective internal
controls.
• Tracking financial performance against approved strategies
and budgets
• Assessing strategic and operational plans to achieve
overarching goals.
• Ensuring compliance with regulatory frameworks, guidelines,
and adherence to Group policies and procedures.","Key purpose and responsibilities
• Assuring the ability to fulfill funding obligations promptly by
devising and executing a liquidity and funding strategy and
policy.
• Assessing and managing operational risks associated with
interest rates, market fluctuations, and exchange rate changes.
• Evaluating the balance sheet and liability structure and
recommending adjustments as necessary.
• Ensuring adherence to statutory requirements regarding
liquidity, cash ratios, and foreign exchange exposures.
• Reviewing the internal capital adequacy management
programme and investment policy for operational stability."
Management Credit Committee,Risk Management Committee
"Key purpose and responsibilities
• Assessing and approving new credit applications and renewals
within Board-delegated limits.
• Making recommendations to the Board regarding revisions to
credit limits.
• Ensuring adherence to regulatory guidelines and limits.
• Monitoring, reviewing, and addressing issues that could
significantly affect the quality of credit risk management.
• Recommending to the Board facilities for approval within the
designated limits requiring Board approval.","Key purpose and responsibilities
• Evaluating significant risk factors affecting business operations.
• Identifying the origins and potential ramifications of business
risks.
• Assessing the effectiveness of existing policies and controls for
risk management and compliance with regulatory standards.
• Supervising business continuity and disaster recovery strategies.
• Formulating plans to mitigate risks and implement corrective
actions to address key business vulnerabilities."
Information Technology and Projects Committee,Crisis Management and Business Continuity Committee
"Key purpose and responsibilities
• Evaluating significant ICT projects to ensure compliance with
the minimum implementation standards outlined in the ICT
strategic plan.
• Overseeing overall ICT performance and devising strategies to
improve efficiency.
• Creating initiatives aligned with the Board-approved ICT
strategy.
• Conducting risk assessments to ensure that the Group’s ICT
policies and systems align with long-term business objectives
and enhance stakeholder value.","Key purpose and responsibilities
• Monitoring and overseeing Business Continuity management
and Disaster Recovery planning, and implementing corrective
measures for identified deficiencies.
• Facilitating employee training and promoting awareness of
business continuity plans.
• Planning resources (human and financial) to sustain business
continuity efforts.
• Supervising risks stemming from moderate or significant
disruptions by establishing suitable frameworks to enhance
resilience."
