Objective,Key considerations
"Internal Controls and
Compliance","• Reviewed, recommended, and approved policies and systems to ensure internal controls
and quality assurance.
• Assessed the implementation of auditor recommendations to enhance operational
controls.
• Evaluated and recommended risk control measures based on insights from internal audit,
risk management, and compliance teams.
• Supervised the external audit relationship, ensuring quality service delivery and
implementation of corrective actions.
• Oversaw the whistle-blowing program’s effectiveness, confidentiality, and functionality.
• Promoted awareness initiatives on internal control and compliance matters.
• Reviewed compliance with legal, regulatory, and internal policy requirements.
• Assessed the Business Continuity Planning and Management Program to ensure
preparedness and resilience.
• Considered and approved the Group Audit Charter and Governance Audit Implementation
status report.
• Monitored and reviewed regulatory approvals from CBK and CMA for key decisions."
Governance and Ethics,"• Ensured adherence to best practices in corporate governance and implemented necessary
compliance measures.
• Reviewed and reinforced ethical policies, ensuring stakeholder commitment and conflict
of interest mitigation.
• Assessed and approved governance, risk, and compliance policies, including those related
to talent management, succession planning, and diversity.
• Reviewed reports from the Group Board Committees, addressing key recommendations
requiring full Board approval.
• Conducted evaluations of the Board, its Committees, the Group Managing Director,
Executive Directors, and the Group Company Secretary.
• Monitored the implementation of prior Board evaluation recommendations.
• Assessed Board composition, independence, expertise, and effectiveness against strategic
objectives.
• Ensured Board members met the minimum regulatory attendance threshold of 75% (save
for exceptional circumstances authorised by the Group Chairman).
• Reviewed the Group’s Governance Report and determined actions for regulatory
compliance.
• Establish a training plan for Board members to enhance governance, business
management, and technical expertise.
• Approved the appointment and reappointment of Directors following review of Board
composition and governance best practices."
Customer Satisfaction,"• Provided guidance on enhancing customer-centric strategies to improve satisfaction and
engagement.
• Analysed customer experience feedback to identify opportunities for improvement and
competitive differentiation.
• Assessed customer feedback for risk mitigation and service enhancement.
• Established key performance indicators to drive process improvements in customer
experience.
• Reviewed market trends and benchmarked against global leaders in customer satisfaction
to identify best practices.
• Ensured customer experience initiatives were aligned with the Group’s vision and long-
term sustainability goals.
• Recommended measures to strengthen customer data protection and uphold fair
business practices.
• Fostered a culture of customer-centricity in decision-making and operational execution.
• Reviewed market trends and competitive positioning in the financial sector through peer
analysis reports."
