"31st Mar, 2008
Unaudited
Shs '000","31st Dec,2007
Audited
Shs '000","31st Mar, 2007
Unaudited
Shs '000"
"7 23,576
4 8,896
1 6,498
-","2 ,543,740
1 52,064
1 01,279
2 ,557","5 74,513
4 0,451
1 6,716
8 40"
"7 88,970","2 ,799,640","6 32,520"
"3 27,509
1 5,242
1 1,876","1 ,098,787
1 8,359
4 4,447","2 38,012
3 ,151
7 ,530"
"3 54,627","1 ,161,593","2 48,693"
"4 34,343","1 ,638,047","3 83,827"
"32,253
73,273
1 19,754
-
2 7,979","1 50,598
2 73,222
2 06,731
-
1 13,141","2 2,755
6 3,517
4 9,168
-
2 2,737"
"2 53,259","7 43,692","1 58,177"
"6 87,602","2 ,381,739","5 42,004"
"6 4,414
1 36,821
1 0,873
2 0,150
2 2,644
4 ,528
1 27,979","1 00,067
5 99,392
5 2,042
3 5,070
1 02,283
2 6,209
4 18,565","2 5,223
1 23,985
1 0,428
1 4,880
2 2,879
6 ,864
1 07,848"
"3 87,409","1 ,333,628","3 12,107"
"3 00,193
-","1 ,048,111
-","2 29,897
-"
"3 00,193","1 ,048,111","2 29,897"
"( 90,058)
-","( 329,312)
2 5,639","( 68,970)
-"
"2 10,135","7 44,438","1 60,927"
Shs,Shs,Shs
"0 .71
-","2 .56
0 .80","0 .55
-"
