Column,2021,2020
,Kes ‘000,Kes ‘000
"Financial assets (with loss allowance based on lifetime ECL) modified during
the period",-,-
Gross carrying amount before modification,"21,340,656","79,493,847"
Loss allowance before modification,"2,344,444","4,772,026"
Net amortised cost before modification,"18,996,212","74,721,821"
Net modification gain/(loss),-,-
Net amortised cost after modification,"18,996,212","74,721,821"
"Financial assets modified since initial recognition at a time when loss
allowance was based on lifetime ECL",-,-
"Gross carrying amount of financial assets for which loss allowance has
changed in the period from lifetime to 12-month ECL cost after modification","93,175",-
