"2,978,446
1,766,297","235,205
233,532","3,213,651
1,999,829"
"4,744,743","468,737","5,213,480"
"(1,980,726)
(290,145)","(307,722)
(26,495)","(2,288,448)
(316,640)"
"2,473,872","134,520","2,608,392"
"1,771,161","92,757","1,863,918"
"38,340,879","2,414,100","40,754,979"
"45,317,661","3,174,563","48,492,224"
