Column,Column,REVENUE,% CONTRIBUTION,EFFICIENCY,RETURNS*
,,TOTALINCOME,,COST TO INCOMERATIO,RETURN ON AVERAGEEQUITY
"s
e
i
r
a
i
d
i
s
b
u
S
g
n
i
k
n
a
B",NCBAK,"43.5Bn
KES",82%,51.1%,18.1%
,NCBAU,"2.9Bn
KES",6%,63.9%,16.7%
,NCBAT,"1.9Bn
KES",4%,87.1%,10.0%
,NCBAR,"1.9Bn
KES",4%,54.8%,"26.0
%"
Non-Bank Subsidiaries,,"2.4Bn
KES",4%,"44.7
%","30.7
%"
Group,,"52.8Bn
KES",,53.4%,"19.1
%"
