Objective,Key considerations
"1. Merger of NIC Group PLC and
Commercial Bank of Africa
Limited","• Overseeing the merger process end to end and ensuring
fulfilment of the conditions precedent, securing shareholders’
and regulatory approvals and execution of the transactional
agreements relating to the merger;
• Establishment of structures, policies and procedures for the
Group and its entities; and
• Establishing the Group strategies and objectives, business
plans and budgets and advising on the implementation of the
transition from the previous strategies of the respective entities
to the revised 2020 - 2024 strategy."
"2. Strategy Development and
Capital Planning","• Reviewing, advising on and approving significant matters with a
bearing on the Group’s capital position;
• Reviewing comprehensive market updates and recommending
actions for implementation against the strategic plans;
• Considering updates and advising on the digital strategy; and
• Considering and recommending for shareholder approval on
the Company’s capital structure."
3. Group Performance,"• Monitoring and reviewing updates of the entire Group’s
performance against the set business targets and strategies and
providing guidance on improvements on a quarterly basis at a
minimum; and
• Considering and approving the financial reports and accounting
policies in use."
