Kenya,Tanzania,Uganda,Total
Shs `000,Shs `000,Shs `000,Shs `000
"15,509,237","881,908","622,987","17,014,132"
"(6,616,694)","(400,012)","(254,893)","(7,271,599)"
"8,892,543","481,896","368,094","9,742,533"
"(1,539,452)","(106,138)","(6,885)","(1,652,475)"
"7,353,091","375,758","361,209","8,090,058"
"3,588,289","282,906","84,439","3,955,634"
"10,941,380","658,664","445,648","12,045,692"
"(383,689)","(66,019)","(42,748)","(492,456)"
"(4,307,593)","(488,359)","(360,009)","(5,155,961)"
"6,250,098","104,286","42,891","6,397,275"
"(1,873,683)","(31,286)","(7,181)","(1,912,150)"
"4,376,415","73,000","35,710","4,485,125"
"106,516,052","4,298,400","3,843,192","114,657,644"
"105,194,000","5,322,620","1,848,017","112,364,637"
"495,810","(107,160)","35,417","424,067"
"1,384,755","96,438","105,567","1,586,760"
