Objective,Key considerations
"Governance and
Ethics","• Reviewing the Board’s composition, Charter and Committee Terms of Reference
against regulatory requirements and business needs.
• Monitoring compliance with good governance principles and practices and
implementing measures for adherence thereof.
• Reviewing the Group’s ethical policies, monitoring and reinforcing the ethical practices
by internal stakeholders and avoiding conflicts of interest.
• Undertaking continuous professional development and targeted training on
governance, business management and technical areas.
• Reviewing, recommending and approving changes to the governance, risk and
compliance policies including those on people and talent management, succession
planning and diversity.
• Undertaking an evaluation of the Group’s Board, its committees, Executive
Management’s and the Group Company Secretary’s effectiveness and monitoring the
implementation of the previous years’ evaluation recommendations."
"Customer
Centricity","• Monitoring customer feedback to identify key touch points for improvement of
products and services to suit customer needs.
• Reviewing policies to ensure that the Group’s practices are aligned with customer
expectations.
• Establishing a customer experience framework that recognizes customer needs and
aspirations in keeping with the Group’s vision and values."
"Social
Responsibility","• Ensuring that the Group upheld its ethical practices in the provision of products and
services and in other engagements with stakeholders.
• Ensuring that the Group’s strategic plans were focused on business sustainability for
the long-term benefit of shareholders.
• Supporting social development through financing environmental and social initiatives,
including educational scholarships, reforestation and wildlife conservancy."
