Capitalised,"Work-in
Progress",Total
Shs `000,Shs `000,Shs`000
"1,310,627","69,845","1,380,472"
"(4,865)",-,"(4,865)"
"32,855","127,757","160,612"
"52,205","(52,205)",-
"1,390,822","145,397","1,536,219"
"1,390,822","145,397","1,536,219"
-,-,-
"64,561","244,326","308,887"
"155,546","(155,546)",-
"1,610,929","234,177","1,845,106"
"744,339",-,"744,339"
"(5,684)",-,"(5,684)"
"215,477",-,"215,477"
"954,132",-,"954,132"
"954,132",-,"954,132"
"7,022",-,"7,022"
"221,937",-,"221,937"
"1,183,091",-,"1,183,091"
-,-,-
"427,838","234,177","662,015"
"436,690","145,397","582,087"
