OTHER DISCLOSURES,BANK,Column,COMPANY,Column,GROUP,Column
,"31st Dec,
2021
Audited
Shs ‘000","31st Dec,
2020
Audited
Shs ‘000","31st Dec,
2021
Audited
Shs ‘000","31st Dec,
2020
Audited
Shs ‘000","31st Dec,
2021
Audited
Shs ‘000","31st Dec,
2020
Audited
Shs ‘000"
,,"35,995,056
6,161,738",,"-
-",,
,"40,908,824",,-,,"44,338,955",
,"7,946,907",,-,,"8,250,128",
,"32,961,917","29,833,318
16,925,353",-,"-
-","36,088,827",
,"22,504,842",,-,,"24,400,779",
,"10,457,075","12,907,965",-,-,"11,688,048",
,"10,457,075","12,907,965",-,-,"11,688,048",
,-,-,-,-,-,
,,"16,083,174
4,888,714",,"-
-",,
,"15,504,466",,-,,"15,936,887",
,"4,735,411",,-,,"5,040,542",
,"20,239,877","20,971,888",-,-,"20,977,429",
,,"57,988,237
11,716,894
-",,"-
-
-",,
,"50,984,049",,-,,"55,433,070",
,"5,951,107",,-,,"5,951,107",
,-,,-,,"1,663,074",
,"56,935,156","69,705,131",-,-,"63,047,251",
,,"60,706,729
1,000,000",,"-
-",,
,"64,567,328",,-,,"70,901,653",
,"1,000,000",,-,,"1,000,000",
,"63,567,328","59,706,729",-,-,"69,901,653",
,"90,776","525,824",-,-,"249,768",
,"64,658,104","61,232,553",-,-,"71,151,421",
,"351,786,715","341,742,072
15.59%
8.00%",,"-
-","372,970,126",
,14.97%,,-,,16.82%,
,8.00%,,-,,8.00%,
,6.97%,7.59%,-,-,8.82%,
,18.35%,"17.76%
10.50%",-,"-
-",19.01%,
,10.50%,,-,,10.50%,
,7.85%,7.26%,-,-,8.51%,
,18.38%,"17.92%
14.50%",-,"-
-",19.08%,
,14.50%,,-,,14.50%,
,3.88%,3.42%,-,-,4.58%,
,15.72%,"15.82%
18.03%
18.18%",-,"-
-
-",17.53%,
,19.27%,,-,,19.81%,
,19.30%,,-,,19.87%,
,,"54.93%
20.00%",,"-
-",,
,60.64%,,-,,61.72%,
,20.00%,,-,,20.00%,
,40.64%,34.93%,-,-,41.72%,
