Key Programs,Target
Building a Winning Culture and Brand,All Bank Staff
Retail Banking Academy,"Branch Managers, Relationship Managers & Assistant
Managers"
Policy and Process – Merger Training,All Staff
NCBA –Service Standards Training,All Staff
Key Bank Systems - Merger Training,All Staff
Credit Skills Training,"Credit Team, Retail and Corporate Banking Relationship
Managers"
Training of Trainers,Trainers – Subject Matter Experts across the bank
