Column,Name,Number of Shares,%
1.,Andrew S. M. Ndegwa,"70,765,367",4.30
2.,James P. M. Ndegwa,"69,724,350",4.23
3.,Desterio A. Oyatsi,"14,029,400",0.85
4.,John S. Armitage,"8,731,852",0.53
5.,John Gachora,"2,364,255",0.14
6.,Mukesh K. R. Shah,"926,090",0.06
7.,Isaac O. Awuondo,"413,766",0.03
8.,Esther N. Ngaine,"353,980",0.02
9.,David Abwoga,"9,108",0.001
