Skill and Experience,Relevance to the Group
Strategy and planning,Developing and directing the implementation of the Group strategy
Financial Services,"Understanding the workings of the industry and formulating suitable strategies for
sustainability"
Legal experience,"Enabling suitable interpretation of the laws and regulations, and providing
advisory services to the Board in ensuring compliance thereof"
Risk Management,"Facilitating a fit for purpose risk management framework that is protective of the
Group’s interests and long term objectives"
Public Sector Experience,"Understanding of government policy making processes to position the Group
towards aligning with the national growth agenda"
Information Technology,"Development of a suitable Group ICT strategy in a pervasive digital service delivery
and data intensive environment"
International Business,"Appreciating diversity in business practices and utilizing cross-border synergies for
the enhancement of service delivery and performance"
Real Estate,Understanding the Real Estate market and opportunities available
Manufacturing,"Evaluation of the business opportunities, especially in relation to national policy on
industrialization, and thus better support to our customers"
Supply chain logistics,"Understanding the value chain and how the Group can offer support in making it
more efficient"
"Environment and
Sustainability","Developing the Group’s environmental and sustainability agenda for the long term
benefit of its stakeholders, including consistent shareholder returns"
Insurance,"Appreciation of the risk environment and facilitating the development of practical
solutions to protect our stakeholders’ investment, and further providing a link
between underwriters and end consumers thus enhancing predictability and
stability"
Accounting,"Enables robust capital management and ensures transparency and accountability
in financial reporting"
