"31st Mar, 2008
Unaudited
Shs '000","31st Dec,2007
Audited
Shs '000","31st Mar, 2007
Unaudited
Shs '000"
"1 ,187,253
206,558","1 ,156,255
1 88,531","1 ,078,721
1 42,699"
"9 80,695
510,107","9 67,724
4 79,884","9 36,022
4 26,507"
"4 70,588","4 87,840","5 09,515"
"470,588","4 87,840","5 09,515"
-,-,-
"555,884
3 09,709","4 71,340
3 15,361","5 40,631
2 49,513"
"8 65,593","7 86,701","7 90,144"
"4,873,414","4 ,550,164","3 ,024,986"
"4 ,873,414","4 ,550,164","3 ,024,986"
"4 ,282,964
2 50,000","4 ,058,465
2 50,000","2 ,623,411
2 50,000"
"4 ,032,964","3 ,808,465","2 ,373,411"
"2 43,609","2 28,182","1 76,342"
"4 ,526,572","4 ,286,647","2 ,799,753"
"2 8,171,550
14.76%
8.00%","2 5,625,430
16.30%
8.00%","2 1,993,328
11.87%
8.00%"
6.76%,8.30%,3.87%
"15.20%
8.00%","15.84%
8.00%","11.93%
8.00%"
7.20%,7.84%,3.93%
"16.07%
12.00%","16.73%
12.00%","12.73%
12.00%"
4.07%,4.73%,0.73%
"30.99%
20.00%","28.68%
20.00%","32.04%
20.00%"
10.99%,8.68%,12.04%
