Column,H1 2022,H1 2021,Column
Kenya,"11,621","7,936",>46%
Tanzania,(471),(245),92%
Uganda,293,(174),>100%
Rwanda,192,40,>100%
NCBA Group,(49),(38),29%
Investment Bank,178,130,37%
Insurance Intermediary,108,111,(3)%
Leasing (LLP),34,47,(28%)
Group Profit Before Tax,"11,904","7,805",53%
Exceptional Items,(724),(391),85%
Group PBT after Exceptional Items,"11,180","7,414",51%
Tax,"(3,409)","(2,757)",24%
Group Profit after tax,"7,771","4,657",67%
