Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,Q3’23 Q3’22 ∆%,,,,,
Interest Income,"41,661","34,793",20%,"46,968","38,781",21%
Interest Expenses,"(19,073)","(14,140)",35%,"(21,011)","(15,533)",35%
Net Interest Income,"22,588","20,654",9%,"25,957","23,247",12%
FX Income,"5,427","8,762",(38%),"6,045","9,208",(34%)
Other Non- Interest Income,"10,667","10,619",0%,"14,694","13,331",10%
Non – Funded Income,"16,093","19,381",(17%),"20,739","22,539",(8%)
Operating Income,"38,682","40,035",(3%),"46,697","45,786",2%
Operating Expenses,"(17,293)","(14,763)",17%,"(22,054)","(18,540)",19%
Operating Profit,"21,388","25,272",(15%),"24,643","27,246",(10%)
Impairments,"(5,709)","(6,622)",14%,"(6,073)","(8,327)",27%
Profit Before Tax And Exceptional Items,"15,679","18,650",(16%),"18,570","18,918",(2%)
Exceptional item,-,(531),100%,-,(724),100%
Profit after Exceptional items,"15,679","18,119",(13%),"18,570","18,194",2%
