Column,FY 24,FY 25
Cost to Income Ratio,51.3%,52.3%
Cost to Assets,4.8%,5.2%
Cost of Risk,1.4%,1.9%
Staff Costs Intensity (1),21.8%,22.6%
IT Costs Intensity (2),9.3%,8.1%
