III OTHER DISCLOSURES,BANK,Column,Column,Column,COMPANY,Column,Column,Column,GROUP CONSOLIDATED,Column,Column,Column
,"30 June, 2025
Un-audited
Shs ‘000","31 March,2025
Un-audited
Shs ‘000","31 Dec, 2024
Audited
Shs ‘000","30 June, 2024
Un-audited
Shs ‘000","30 June, 2025
Un-audited
Shs ‘000","31 March,2025
Un-audited
Shs ‘000","31 Dec, 2024
Audited
Shs ‘000","30 June, 2024
Un-audited
Shs ‘000","30 June, 2025
Un-audited
Shs ‘000","31 March,2025
Un-audited
Shs ‘000","31 Dec, 2024
Audited
Shs ‘000","30 June, 2024
Un-audited
Shs ‘000"
,,"35,999,629 35,511,838 37,441,396
10,047,860 10,490,918 10,629,248",,,,"- - -
- - -",,,,,,
,"36,767,253",,,,-,,,,"38,135,390",,,
,"11,040,337",,,,-,,,,"11,230,323",,,
,"25,726,916","25,951,769 25,020,920 26,812,148",,,-,- - -,,,"26,905,067",,,
,"12,914,841","12,381,303 10,318,955 10,785,201",,,-,- - -,,,"13,761,066",,,
,"12,812,075","13,570,466 14,701,965 16,026,947",,,-,- - -,,,"13,144,001",,,
,"12,812,075","13,570,466 14,701,965 16,026,947",,,-,- - -,,,"13,144,001",,,
,-,- - -,,,-,- - -,,,-,,,
,,"24,309,925 22,021,751 21,537,602
7,418,958 7,448,251 7,053,827",,,,"- - -
- - -",,,,,,
,"25,724,085",,,,-,,,,"26,040,710",,,
,"7,564,797",,,,-,,,,"8,543,938",,,
,"33,288,882","31,728,883 29,470,002 28,591,429",,,-,- - -,,,"34,584,648",,,
,,"49,613,923 45,454,432 57,944,452
1,837,741 1,032,086 5,982,220
- - -",,,,"- - -
- - -
- - -",,,,,,
,"53,402,509",,,,-,,,,"59,208,930",,,
,"3,586,727",,,,-,,,,"3,586,727",,,
,-,,,,-,,,,"2,287,583",,,
,"56,989,236","51,451,664 46,486,518 63,926,672",,,-,- - -,,,"65,083,240",,,
,,"91,313,340 89,085,488 88,080,101
1,000,000 1,000,000 1,000,000",,,,"- - -
- - -",,,,,,
,"93,545,577",,,,-,,,,"107,778,798",,,
,"1,000,000",,,,-,,,,"1,000,000",,,
,"92,545,577","90,313,340 88,085,488 87,080,101",,,-,- - -,,,"106,778,798",,,
,-,- - -,,,-,- - -,,,"313,522",,,
,"93,545,577","91,313,340 89,085,488 88,080,101",,,-,- - -,,,"108,092,320",,,
,"432,830,549","439,925,674 437,823,635 452,177,364",,,,,,,"483,040,609",,,
,21.28%,"20.63% 19.82% 18.60%
8.00% 8.00% 8.00%",,,-,"- - -
- - -",,,21.73%,,,
,8.00%,,,,-,,,,8.00%,,,
,13.28%,12.63% 11.82% 10.60%,,,-,- - -,,,13.73%,,,
,21.61%,"20.76% 20.35% 19.48%
10.50% 10.50% 10.50%",,,-,"- - -
- - -",,,22.31%,,,
,10.50%,,,,-,,,,10.50%,,,
,11.11%,10.26% 9.85% 8.98%,,,-,- - -,,,11.81%,,,
,21.61%,"20.76% 20.35% 19.48%
14.50% 14.50% 14.50%",,,-,"- - -
- - -",,,22.38%,,,
,14.50%,,,,-,,,,14.50%,,,
,7.11%,6.26% 5.85% 4.98%,,,-,- - -,,,7.88%,,,
,,"60.00% 56.01% 56.42%
20.00% 20.00% 20.00%",,,,"- - -
- - -",,,,,,
,62.18%,,,,-,,,,57.14%,,,
,20.00%,,,,-,,,,20.00%,,,
,42.18%,40.00% 36.01% 36.42%,,,-,- - -,,,37.14%,,,
