Director,Designation,Column,Board,BESC,BARC,BGNC,BICTC,Strategy
J. P. M,"Group Chairman
(NED)",Membership,√,,,,,
,,Attendance,4/4,,,1/1,,2/2
D. Oyatsi,"Deputy Chairman
& Chairman BGNC
(INED)",Membership,√,,,√,,
,,Attendance,4/4,,,3/3,,2/2
J. Gachora,"Group Managing
Director (ED)",Membership,√,√,,,,
,,Attendance,4/4,12/12,9/9,2/3,5/5,2/2
I. O. Awuondo,"NED & Chairman,
BESC",Membership,√,√,,,√,
,,Attendance,4/4,12/12,,,5/5,2/2
E. N. Ngaine,INED,Membership,√,,,√,,
,,Attendance,4/4,,,3/3,,2/2
M. K. R. Shah,"INED & Chairman,
BARC",Membership,√,,√,,,
,,Attendance,4/4,,9/9,,,2/2
J. S. Armitage,NED,Membership,√,√,,,,
,,Attendance,4/4,12/12,,,,2/2
A. S. M. Ndegwa,NED,Membership,√,√,,,,
,,Attendance,4/4,12/12,,,,2/2
Hon A. H. Abdi,INED,Membership,√,,√,,,
,,Attendance,4/4,,8/9,,,1/2
D.Abwoga,ED,Membership,√,,,,,
,,Attendance,4/4,12/12,9/9,3/3,5/5,2/2
P. R. Lopokoiyit,INED,Membership,√,,√,√,,
,,Attendance,4/4,,9/9,3/3,,2/2
J. Somen*,"Co-opted member
& Chairman, BICTC
(INED)",,,,,,√,
,,Attendance,2/2,,,,5/5,2/2
KEY,,,,,,,,
"BESC = Board Executive and Strategy
Committee",,"BARC = Board Audit and Risk
Committee",,,NED = Non-Executive Director,,,
"BGNC = Board Governance and
Nominations Committee",,ED = Executive Director,,,INED = Independent Non-Executive Director,,,
BICTC = Board Information and Communication Technology Committee,,,,,,,,
