Director,Classification,Designation,Column,Board,"Audit &
Compliance","Credit
& Risk","Human
Resources &
Compensation",Executive,Nominations
J P M Ndegwa,Non-executive,"Chairman of the
Board &
Nominations
Committee",Membership,√,,,,,√
,,,Attendance,4/4,,,,,1/1
F M Mbiru,Non-executive,"Chairman
Credit & Risk
Committee",Membership,√,√,√,√,,
,,,Attendance,4/4,4/4,8/8,2/2,,
J W Macharia,Executive,"Group Managing
Director",Membership,√,√,√,√,√,
,,,Attendance,4/4,3/4,8/8,2/2,2/2,
G A Maina,Non-executive,,Membership,√,,,,√,√
,,,Attendance,4/4,,,,1/2,1/1
F N Mwanzia,Non-executive,"Chairman
Audit & Compliance
Committee",Membership,√,√,√,,,
,,,Attendance,4/4,4/4,6/8,,,
A S M Ndegwa,Non-executive,"Chairman
Executive Com-
mittee",Membership,√,√,√,√,√,
,,,Attendance,4/4,4/4,7/8,2/2,2/2,
I Ochola-Wilson,Non-executive,"Chairman
Human Resources
and Compensation
Committee",Membership,√,,,√,,√
,,,Attendance,3/4,,,2/2,,1/1
M L Somen,Non-executive,,Membership,√,,√,,√,√
,,,Attendance,4/4,,8/8,,2/2,1/1
A Dodd,Executive,,Membership,√,√,√,√,√,
,,,Attendance,4/4,3/4,7/8,2/2,2/2,
